Company Name,,LTP (Last Traded Price),52 Week High,52 Week Low
Elecon Engineering Company,,1321.65,"1,355.50",544.00
Engineers India,,265.7,289.90,107.50
Eris Lifesciences,,1008.8,"1,053.90",649.00
EID Parry,,728,733.30,452.35
Equitas Small Finance Bank,,101.79,116.50,80.10
Electrosteel Castings,,172.11,208.00,53.50
Electronics Mart,,240.19,250.00,75.95
ESAB India,,5915.05,"6,585.95","3,855.85"
Easy Trip Planners,,42.23,54.00,37.00
Edelweiss Financial Services,,69.99,87.80,43.70
Ethos,,2519.55,"3,044.00","1,266.20"
Essel Propack,,195.66,236.15,169.60
Epigral,,1335.15,"1,443.25",872.10
Fertilisers & Chemical Travancore,,779.9,908.00,326.00
Federal Bank,,174.4,175.10,121.00
Fortis Healthcare,,502.25,489.00,284.30
Finolex Cables,,1594.55,"1,595.00",780.50
Five Star Business Finance,,809.9,876.55,590.00
Finolex Industries,,332.45,355.90,170.05
Firstsource Solutions,,203.41,228.90,122.15
Fine Organic Industries,,4673.45,"5,164.90","4,021.00"
Force Motors,,9142.3,"10,277.85","2,160.10"
Fairdeal Corporation,,461.25,489.95,301.95
Fusion Micro Finance,,495.9,691.00,416.20
Fedbank Financial Services,,121.89,153.60,108.75
Fineotex Chemical,,358.9,458.85,266.00
Fiem Industries,,1253.8,"1,325.80",822.00
Flair Writing Industries,,293,514.40,246.10
Foseco,,3922.9,"4,150.00","2,540.00"
Filatex India,,54.88,78.00,37.60
Fino Payments Bank,,284.95,384.00,224.05
Federal Mogul Goetze,,435.75,432.00,313.05
Filatex Fashions,,10.67,14.30,8.50
Grasim Industries,,2471.2,"2,489.75","1,689.28"
GAIL,,221.83,233.20,103.30
Godrej Consumer Products,,1392.95,"1,467.10",959.80
Godrej Properties,,2998.5,"3,047.95","1,468.90"
GIC of India,,393.7,467.80,178.55
GMR Airports Infrastructure,,93.92,94.35,41.75
GlaxoSmithKline Pharmaceuticals,,2654.85,"2,709.25","1,377.25"
Gujarat Gas,,632.05,644.10,397.05
GE T&D,,1592.75,"1,568.00",195.30
Gujarat Fluorochemicals,,3266.85,"3,920.00","2,476.00"
Glenmark Pharmaceuticals,,1237.15,"1,232.50",621.80
Global Health,,1356.2,"1,513.90",627.25
Go Digit General Insurance,,338.95,372.00,278.55
Gland Pharma,,1845.95,"2,194.00",971.00
Grindwell Norton,,2714.65,"2,777.00","1,875.20"
Godrej Industries,,825.85,990.00,468.50
Gillette,,7710.15,"7,999.00","4,482.10"
Godfrey Phillips,,4093.35,"4,288.00","1,620.00"
Garden Reach Shipbuilders,,1630,"1,573.00",543.25
Gujarat State Petronet,,304.8,406.75,254.50
ICICI Bank,,1105.65,"1,173.00",899.00
Infosys,,1488.9,"1,733.00","1,262.25"
ITC,,431.15,499.70,399.35
Indian Oil Corporation,,170.36,196.80,85.50
IRFC,,174.8,200.00,31.95
Interglobe Aviation,,4270.4,"4,609.80","2,333.35"
Indian Overseas Bank,,67.21,83.75,23.70
Indusind Bank,,1502.35,"1,694.50","1,262.00"
IDBI Bank,,86.58,98.70,53.25
Indus Towers,,340.75,369.90,157.35
ICICI Prudential Life Insurance,,613.7,640.85,463.45
Indian Hotels Company,,613.85,622.50,371.60
ICICI Lombard General Insurance,,1730.9,"1,747.00","1,200.10"
IRCTC,,1018.2,"1,138.90",614.35
Info Edge,,6242.95,"6,545.00","3,972.05"
Indian Bank,,540.7,632.70,275.60
IDFC First Bank,,78,100.70,70.80
IREDA,,179.11,214.80,50.00
IRB Infrastructure Developers,,67.18,78.15,24.95
Indraprastha Gas,,482.6,501.00,375.70
Jio Financial Services,,357,394.70,202.80
JSW Steel,,921.15,928.95,723.00
