Company Name,LTP(Last Traded Price),52 Week High,52 Week Low
Fine Organic Industries,"4,673.45","5,164.90","4,021.00"
Force Motors,"9,142.30","10,277.85","2,160.10"
Fairdeal Corporation,461.25,489.95,301.95
Fusion Micro Finance,495.90,691.00,416.20
Fedbank Financial Services,121.89,153.60,108.75
Fineotex Chemical,358.90,458.85,266.00
Fiem Industries,"1,253.80","1,325.80",822.00
Flair Writing Industries,293.00,514.40,246.10
Foseco,"3,922.90","4,150.00","2,540.00"
Filatex India,54.88,78.00,37.60
Fino Payments Bank,284.95,384.00,224.05
Federal Mogul Goetze,435.75,432.00,313.05
Filatex Fashions,10.67,14.30,8.50
HDFC Bank,"1,596.90","1,757.50","1,363.55"
Hindustan Unilever,"2,479.75","2,769.65","2,172.05"
HCL Technologies,"1,431.05","1,697.35","1,087.05"
Hindustan Aeronautics,"5,200.55","5,444.00","1,767.80"
Hindustan Zinc,661.90,807.70,284.60
Hindalco Industries,683.60,715.25,407.45
HDFC Life Insurance,598.35,710.60,511.40
Hero Motocorp,"5,804.20","5,859.00","2,745.05"
Havells,"1,839.50","1,985.40","1,232.85"
HDFC AMC,"4,014.40","4,186.95","1,885.55"
Hindustan Petroleum,536.30,594.80,239.20
HUDCO,282.55,300.00,56.90
Honeywell Automation,"57,926.80","58,994.00","34,977.70"
Hitachi Energy,"11,089.90","12,379.60","3,895.90"
Hindustan Copper,336.90,415.80,112.25
Hatsun Agro Product,"1,091.20","1,232.95",911.25
Himadri Speciality Chemical,361.90,398.75,125.50
HFCL,117.95,117.80,61.50
Happiest Minds Technologies,882.00,"1,023.00",741.00
HBL Power Systems,477.70,612.00,142.30
HDFC Bank,"1,596.90","1,757.50","1,363.55"
Hindustan Unilever,"2,479.75","2,769.65","2,172.05"
HCL Technologies,"1,431.05","1,697.35","1,087.05"
Hindustan Aeronautics,"5,200.55","5,444.00","1,767.80"
Hindustan Zinc,661.90,807.70,284.60
Hindalco Industries,683.60,715.25,407.45
HDFC Life Insurance,598.35,710.60,511.40
Hero Motocorp,"5,804.20","5,859.00","2,745.05"
Havells,"1,839.50","1,985.40","1,232.85"
HDFC AMC,"4,014.40","4,186.95","1,885.55"
Hindustan Petroleum,536.30,594.80,239.20
HUDCO,282.55,300.00,56.90
Honeywell Automation,"57,926.80","58,994.00","34,977.70"
Hitachi Energy,"11,089.90","12,379.60","3,895.90"
Hindustan Copper,336.90,415.80,112.25
Hatsun Agro Product,"1,091.20","1,232.95",911.25
Himadri Speciality Chemical,361.90,398.75,125.50
HFCL,117.95,117.80,61.50
Happiest Minds Technologies,882.00,"1,023.00",741.00
HBL Power Systems,477.70,612.00,142.30
ICICI Bank,"1,105.65","1,173.00",899.00
Infosys,"1,488.90","1,733.00","1,262.25"
ITC,431.15,499.70,399.35
Indian Oil Corporation,170.36,196.80,85.50
IRFC,174.80,200.00,31.95
Interglobe Aviation,"4,270.40","4,609.80","2,333.35"
Indian Overseas Bank,67.21,83.75,23.70
Indusind Bank,"1,502.35","1,694.50","1,262.00"
IDBI Bank,86.58,98.70,53.25
Indus Towers,340.75,369.90,157.35
ICICI Prudential Life Insurance,613.70,640.85,463.45
Indian Hotels Company,613.85,622.50,371.60
ICICI Lombard General Insurance,"1,730.90","1,747.00","1,200.10"
IRCTC,"1,018.20","1,138.90",614.35
Info Edge,"6,242.95","6,545.00","3,972.05"
Indian Bank,540.70,632.70,275.60
IDFC First Bank,78.00,100.70,70.80
IREDA,179.11,214.80,50.00
IRB Infrastructure Developers,67.18,78.15,24.95
