Company Name,LTP(Last Traded Price),52 Week High,52 Week Low
Aurobindo Pharma,"1,254.65","1,292.10",665.75
Oil India,677.85,689.85,240.80
Lupin,"1,605.45","1,728.00",809.95
Indian Bank,541.75,632.70,275.60
Muthoot Finance,"1,792.70","1,810.95","1,140.50"
SRF,"2,399.90","2,693.95","2,040.00"
Schaeffler India,"4,524.40","4,745.00","2,612.20"
Oberoi Realty,"1,934.90","1,952.05",975.00
Container Corporation of India,"1,140.30","1,180.00",629.20
Ashok Leyland,236.79,241.50,154.25
SBI Cards,727.05,933.00,647.95
GIC of India,390.40,467.80,178.55
Mazagon Dock Shipbuilders,"3,389.90","3,478.00","1,022.00"
UCO Bank,56.94,70.65,26.10
Suzlon Energy,49.87,52.10,13.25
Jindal Stainless,816.20,841.00,317.05
Dixon Technologies,"10,855.70","10,888.80","3,953.00"
Thermax,"5,342.40","5,699.95","2,191.85"
Aditya Birla Capital,239.08,243.70,155.00
Steel Authority of India,149.63,175.35,81.80
Balkrishna Industries,"3,190.05","3,283.50","2,193.80"
Phoenix Mills,"3,432.65","3,515.10","1,516.00"
JSW Infrastructure,290.45,299.95,142.20
Alkem Laboratories,"5,089.70","5,578.80","3,307.20"
Astral,"2,236.20","2,352.00","1,740.00"
PB FinTech,"1,316.60","1,400.35",626.00
Abbott,"27,616.70","29,638.95","21,919.55"
Berger Paints,501.35,679.75,439.00
PERSISTENT SYSTEMS LTD,"3,790.70","4,450.00","2,317.18"
UNO Minda,998.95,"1,065.00",548.60
Central Bank of India,65.76,76.90,26.55
Bank of India,124.51,157.95,69.50
United Breweries,"2,118.30","2,182.45","1,465.80"
HUDCO,279.00,300.00,56.90
GMR Airports Infrastructure,91.73,94.35,41.75
PI Industries,"3,638.20","4,040.00","3,220.00"
P&G Hygiene and Health Care,"16,899.95","19,250.00","13,764.05"
IDFC First Bank,77.46,100.70,70.80
BHARAT DYNAMICS LIMITED,"1,491.10","1,662.95",450.00
Patanjali Foods,"1,481.20","1,713.80","1,035.00"
Tata Communications,"1,877.00","2,084.65","1,512.45"
MRF,"1,26,079.60","1,51,445.00","98,280.10"
Cochin Shipyard,"2,006.80","2,100.00",272.50
SJVN,133.12,170.50,38.00
L&T Technology Services,"4,905.10","5,873.35","3,755.25"
Sundaram Finance,"4,546.75","4,998.00","2,493.10"
Fertilisers & Chemical Travancore,772.40,908.00,326.00
AU Small Finance Bank,668.15,813.40,553.70
ACC,"2,635.80","2,746.40","1,754.00"
Voltas,"1,482.65","1,502.30",745.00
Petronet LNG,323.05,326.00,191.70
Honeywell Automation,"54,568.25","58,994.00","34,977.70"
Nykaa,167.03,195.50,130.10
Bank of Maharashtra,66.68,73.50,26.80
Escorts Kubota,"4,247.65","4,260.45","2,117.20"
Mphasis,"2,456.50","2,837.60","1,807.60"
Exide Industries,542.30,549.90,206.20
Hitachi Energy,"10,830.85","12,379.60","3,895.90"
GlaxoSmithKline Pharmaceuticals,"2,700.70","2,709.25","1,377.25"
Tata Elxsi,"7,231.05","9,200.00","6,411.20"
Adani Wilmar,344.30,437.90,285.80
Coromandel International,"1,498.35","1,505.90",913.55
Gujarat Gas,636.20,644.10,397.05
L&T Finance,175.87,179.18,108.55
KEI Industries,"4,825.90","4,889.00","2,115.00"
Page Industries,"38,833.00","42,885.00","33,070.05"
APL Apollo Tubes,"1,539.35","1,800.00","1,275.05"
Tata Technologies,"1,049.05","1,400.00",982.25
Federal Bank,172.26,175.10,121.00
United Phosphorus,557.70,696.00,447.80
3M India,"36,894.60","39,876.10","26,512.00"
Kalyan Jewellers,398.40,449.70,112.25
KPIT Technologies,"1,487.40","1,764.00",961.00
Biocon,338.15,349.45,217.50
